section,metric,value
portfolio,total_net_return,-0.0793529117
portfolio,cagr,-0.0272506543
portfolio,annualized_volatility,0.034734
portfolio,sharpe_ratio,-0.7801816297
portfolio,sortino_ratio,-0.4548
portfolio,maximum_drawdown,-0.1070323807
portfolio,completed_trades,37
portfolio,trade_win_rate,0.4864864865
portfolio,time_in_market,0.3976
portfolio,average_gross_exposure,0.2244
portfolio,turnover,37.1798
portfolio,transaction_cost,0.0371798
cost_sensitivity,total_return_0_bps,-0.0445574105
cost_sensitivity,total_return_5_bps,-0.062112
cost_sensitivity,total_return_10_bps,-0.0793529117
cost_sensitivity,total_return_20_bps,-0.112913
trade_diagnostic,mean_reversion_exits,33
trade_diagnostic,mean_reversion_gross_return_sum,0.064642
trade_diagnostic,mean_reversion_cost_sum,0.066138
trade_diagnostic,stopped_trades,4
trade_diagnostic,stopped_trade_gross_return_sum,-0.150073
